nm_uf,nm_micro,lng,lat
SAO PAULO,ADAMANTINA,-50.997687816078276,-21.706114739408616
ESPÍRITO SANTO,AFONSO CLAUDIO,-41.01838994928553,-20.191878150874356
MARANHÃO,AGLOMERACAO URBANA DE SAO LUIS,-44.14298203247793,-2.5629617573238668
SERGIPE,AGRESTE DE ITABAIANA,-37.41197593358597,-10.729138137645407
SERGIPE,AGRESTE DE LAGARTO,-37.68078625214717,-10.92173579620607
RIO GRANDE DO NORTE,AGRESTE POTIGUAR,-35.524439646971814,-6.136423406304421
MINAS GERAIS,AIMORES,-41.391151970113405,-19.511658726758263
ALAGOAS,ALAGOANA DO SERTAO DO SAO FRANCISCO,-37.998016480780734,-9.418735378579342
BAHIA,ALAGOINHAS,-38.25399992533866,-11.724403938639282
ESPÍRITO SANTO,ALEGRE,-41.596959580450196,-20.53017388511807
MINAS GERAIS,ALFENAS,-46.00784558847805,-21.349666582015058
PARÁ,ALMEIRIM,-52.49224670090287,-1.2251024048519694
MINAS GERAIS,ALMENARA,-40.60618891243917,-16.311645404508386
MATO GROSSO,ALTA FLORESTA,-56.96586183040271,-9.774641798073844
PARÁ,ALTAMIRA,-52.494222688136375,-4.070938607249647
MATO GROSSO,ALTO ARAGUAIA,-53.39510816285252,-17.5184258036914
PERNAMBUCO,ALTO CAPIBARIBE,-35.90886167800218,-7.876306530142254
MATO GROSSO,ALTO GUAPORE,-59.55736246130354,-14.993017712240068
MARANHÃO,ALTO MEARIM E GRAJAU,-45.51764792948111,-5.4887000403335655
PIAUÍ,ALTO MEDIO CANINDE,-41.55980806487418,-7.815643362807225
PIAUÍ,ALTO MEDIO GURGUEIA,-44.4729754917413,-9.083010882244293
MATO GROSSO,ALTO PANTANAL,-57.372174161379554,-15.988587776499429
MATO GROSSO,ALTO PARAGUAI,-56.866089249161114,-14.5623048554338
PIAUÍ,ALTO PARNAIBA PIAUIENSE,-44.94678412921941,-7.928681873453158
AMAZONAS,ALTO SOLIMOES,-69.50476774588213,-4.146678463425239
MATO GROSSO DO SUL,ALTO TAQUARI,-54.38423227221485,-18.822780067946816
MATO GROSSO,ALTO TELES PIRES,-55.69035320533954,-13.168559237206487
RONDÔNIA,ALVORADA D'OESTE,-62.61056796228133,-11.631033067411211
AMAPA,AMAPA,-50.79025237408179,1.585208369236212
SAO PAULO,AMPARO,-46.71315529406982,-22.692736488746082
SAO PAULO,ANDRADINA,-51.308028451135016,-20.858937483458554
MINAS GERAIS,ANDRELANDIA,-44.42214819531672,-22.000467903117237
RIO GRANDE DO NORTE,ANGICOS,-36.349251156109105,-5.514447059623501
GOIÁS,ANICUNS,-50.185147753750115,-16.421817306076413
GOIÁS,ANAPOLIS,-49.4194625532179,-16.11463085941124
PARANÁ,APUCARANA,-51.43460499785852,-23.645378687214617
MATO GROSSO DO SUL,AQUIDAUANA,-55.9808439841416,-20.321653181498416
SERGIPE,ARACAJU,-37.13527078740679,-10.92415656192975
GOIÁS,ARAGARCAS,-51.79091960943476,-16.090465379420404
TOCANTINS,ARAGUAINA,-48.51745459446023,-7.134283138794381
ALAGOAS,ARAPIRACA,-36.67343124649643,-9.794703382318058
SANTA CATARINA,ARARANGUA,-49.66169550983331,-29.022839176379705
